تصنيف المستوى الأول,تصنيف المستوى الثاني,الاستفسارات الظاهرة للمستفيد الخارجي,الكلمات المفتاحية للاستفسار,الإجابة,الاستفسار بصياغة أخرى - 1,الاستفسار بصياغة أخرى - 2,الاستفسار بصياغة أخرى - 3
مستوى التعليم العام,شؤون الطلاب  والطالبات,هل يحق للمدرسة وضع 3 مواد اختبارات للطالب بيوم واحد,احقي -مدرس - اختبار - يوم - واحد - 3 - طالب,حسب دليل نظم وإجراءات الاختبارات في التعليم العام 1437هـ ص ( 26 ) فقرة ( 3 ) لا يختبر الطالب في أكثر من مادتين في اليوم الواحد  إلا في الحالات القصوى,ما أحقية المدرسة  في وضع 3 مواد اختبارات للطالب بيوم واحد  ؟         عادي المدرسة تحط 3 مواد اختبارات للطالب بيوم واحد ؟,هل يحق للمدرسة وضع 3 مواد اختبارات في يوم واحد؟,مامدى أحقية المدرسة في اختبار الطالب ل 4 مواد في يوم واحد؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"ماهو الموعد الزمني لنتيجة قياس موهبة وكيف يمكن الحصول على النتيجة ؟
",موعد - موهب - اعلان- نتيجة - قياس - حصول ,"يمكن الرجوع للرابط التالي للحصول على النتائج:
http://www.qiyas.org/QiyasResult/Pages/ResultsPage.aspx",متى  موعد اعلان نتيجة موهبة ؟,متى الموعد الزمني لقياس موهبة وكيف يتم الحصول على النتيجة ؟, كيف أحصل على النتيجة قياس الموهبة      
مستوى التعليم العام,شؤون الطلاب  والطالبات,ماهي طريقة التسجيل في اختبار  التحصيلي؟,تسجيل-اختبار-تحصيلي-طريقة,"يتم التسجيل في التحصيلي بارسال تعريف من المدرسة، أو شهادة التخرج على البريد الإلكتروني، وطلب فتح التسجيل للاختبار على الرابط:
 support@qiyas.org",كيف يمكنني التسجيل في اختبار التحصيلي ؟,كيف يمكن التسجيل في اختبار التحصيلي ,شلون اسجل بالتحصيلي 
مستوى التعليم العام,شؤون الطلاب  والطالبات,ماهي صلاحية اختبار القدرات والتحصيل للجامعيين ؟,مدة-درجة-اختبار-قدرات-تحصيلي-جامعيين,"صلاحية اختبار القدرات والتحصيل للجامعين خمس سنوات، واختبار الانجليزي ثلاث سنوات.",ماهي مدة درجة اختبار القدرات والتحصيلي للجامعيين ؟,ماهي صلاحية درجة اختبار القدرات والتحصيلي للجامعيين ,كم تقعد درجة اختبار القدرات والتحصيلي للجامعيين 
مستوى التعليم العام,شؤون الطلاب  والطالبات,هل يوجد تعميم بشأن تغيير موعد  وجدول اختبارات الجانب التحريري للمواد ذات الجانبين مثل (الحاسب الألي ... المواد التطبيقية) للطلاب؟,تعميم-تحريرية-طلاب-حاسب-تطبيقية-جدول-موعد,بناء على تعميم نائب الوزير  انه  يعتمد نقل اختبارات الجانب التحريري للمواد ذات الجانبين الى أسبوعي الاختبارات التحريرية و ضمن جدولها . ,هل سيتم تغيير موعد الاختبارات التحريرية لمواد الحاسب والتطبيقية للطلاب ؟ ,هل  بتتغيير مواعيد الاختبارات التحريرية لمواد الحاسب والتطبيقية للطلاب,متى بتتغير مواعيد الاختبارات التحريرية للحاسب
مستوى التعليم العام,شؤون الطلاب  والطالبات,ماهي التخصصات المطلوبة لتدريس مادة التربية البدنية و ماهي متطلبات قياس المطلوبة للتقديم على وظائف التربية البدنية ؟,تخصص - بدني - تربي - خاص - مطلوب - قياس - وظائف,"التخصصات المطلوبة لتدريس مادة التربية البدنية موضحة بالمرفق - ومتطلبات قياس المطلوبة للتقديم على وظائف التربية البدنية هي ( اختبار عام + اختبار التربية البدنية )
",وش التخصصات المطلوبة لتدريس مادة التربية البدنية ؟                      ,ماهي التخصصات المطلوبة لتدريس مادة التربية البدنية و ماهي متطلبات قياس المطلوبة للتقديم على وظائف التربية البدنية ؟, كيفية معرفة التخصصات المطلوبة لتدريس مادة التربية البدنية و متطلبات قياس المطلوبة للتقديم على وظائف التربية البدنية؟ 
مستوى التعليم العام,شؤون الطلاب  والطالبات,"كيفية حل مشكلة تسجيل ولي أمر جديد في نظام نور والأب غير سعودي (يمني)
ويظهر خطأ عند إدخال رقم إقامة الطالب ""الجنسية غير متطابقة«؟",كيفية-حل-مشكلة-تسجيل-ولي-امر-جديد-نظام-نور-اب-غير-سعودي-يمني-خطأ-إدخال-رقم-إقامة-طالب-غير متطابقة-جيت-ادخل-حل,"يجب إدخال تاريخ إنتهاء الإقامة بدلاً من تاريخ ميلاد الطفل
مع تحديد الجنسية",إذاجيت ادخل رقم إقامة ابني يمني الجنسية في نظام نور لتسجيله في الصف الأول ابتدائي يطلع لي خطأ فما الحل؟,انا يمني واذا جيت اسجل ابني يرفض؟,عند التسجيل في نظام نور يظهر رقم الاقامة  خطأ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,ماهي خطوات توليد كلمة المرور  للطالب من حساب القائد في نظام نور ؟,خطوات-توليد-كلمة-مرور-نظام-حساب-قائد-مدرسة-طالب,"للإطلاع على خطوات توليد كلمة المرور للطالب من حساب القائد في نظام نور الاطلاع على الرابط :
http://www.m5zn.com/uploads2/2011/10/27/photo/gif/1027111910189063c1d0qio7wi.gif",كيف القائد يزود الطالب بكلمة المرور في نظام نور؟,انا طالب وابي ادخل نظام نور يظهر خطأ وش الحل ؟,خطوات استعادة كلمة السر بنظام نور للطالب؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيفية حل مشكلة عند التسجيل كولي امر جديد .. تظهر عبارة (لدى ولي الامر ملف معرف به مسبقا بالنظام )؟,كيفية-حل-مشكلة-تسجيل-ولي-امر-جديد-تظهر-عبارة-لدى-ولي -الأمر-ملف-معرف-به-مسبقا-بالنظام-اسجل-ولدي-بنتي-مرحلة-ابتدائية-يطلع-لي-حل, لديك حساب مسبق كولي امر  .. اطلب نسيت كلمة السر حتى يتم تزويدك برقم السر لحسابك السابق .. دون انشاء حساب جديد,إذا جيت اسجل ولدي أو بنتي في نظام نور في المرحلة الإبتدائية يطلع لي عبارة لدى ولي الأمر ملف معرف به مسبق بالنظام فما الحل؟,اذا جيت اسجل ولي أمر جديد يظهر خطأ؟,شلون احل مشكلة تسجيل ولي امر جديد اذا طلع لي خطأ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيفية حل مشكلة عند اعادة تعيين كلمة السر لـ ولي أمر في نظام نور الرابط الذي تم ارسال كلمة المرور عليه غير صحيح او غير فعال ؟,كيفية-حل-مشكلة-إعادة-تعيين-كلمة-سر-ولي-أمر-نظام-نور-رابط-تم إرسال-كلمة-مرور-عليه-غير -صحيح-غير فعال-سويت-تغيير-رابط-ارسلوه-لي-يطلع,عند اختيار نسيت كلمة السر يلزم التوجه مباشرة  للإيميل والاطلاع على كلمة السر وكتابتها في النظام .. لأن الرابط له مدة صلاحية ثم يصبح غير فعال,إذا سويت تغيير كلمة السر الرابط الي ارسلوه لي يطلع لي غير فعال؟,كل مااسوي استعادة كلمة  سر بالنظام يجيني الرابط خطأ ؟,بعد مايوصل رابط استعادة كلمة السر حق نور يظهر غير فعال؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيفية حل مشكلة عند استعادة كلمة السر يطلب النظام الإيميل المدخل سابقا  وهو غير معروف لدي؟,كيفية-حل-مشكلة-استعادة-كلمة-سر-يطلب-نظام-ايميل-مدخل-سابقا-غي-معروف-لدي-جيت-أسوي-تغيير-بريد-الي-دخلته-ماأذكر-حل,التواصل مع مدرسة الابن السابق  ليتم تزويده بالايميل ,إذاجيت أسوي تغيير كلمة المرور يطلب النظام البريد الي دخلته وأنا ماأذكره فما الحل؟,نسيت الايميل اللي سجلت فيه قبل بنظام نور شلون اطلعه؟,عند مشكلة اني ناسي الايميل في نظام نور؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيفية إنشاء حساب كولي أمر في نظام نور لكي يتم متابعة حالة الأبناء؟,كيفية-إنشاء-حساب-كولي-أمر-نظام-نور-متابعة-حالة-أبناء-كيف-أسوي-حساب,"المدرسة هي من تنشىء حساب ويتم ربط سجلك بسجل أبنك.. 
و بإمكانك من خلال نظام نور بعد الدخول على 
رابط التسجيل لولي أمر جديد 
https://noor.moe.gov.sa/NOOR/Login.aspx",كيف اسوي حساب كولي أمر لي من أجل متابعة الحالة الدراسية لأبنائي؟,ابي خطوات فتح حساب بنور علشان اشوف نتائج عيالي؟,طريقة فتح حساب بنظام نور علشان اقدر ادخل على شهادات عيالي؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"مامعنى وضع الطالب في مرحلة الانتظار في المدرسة بسبب تأخر التسجيل في نظام نور؟
",معنى-وضع-طالب-مرحلة-انتظار-مدرسة-بسبب-تأخر-تسجيل-نظام-نور-يطلع-لي-حالة-طلب-صف-فإيش-معناته,"لتاخر ولي الامر عن تسجيل ابنه حتى هذا الوقت اصبحت بعض المدارس غير متاحة للتسجيل 
على ولي الامر مراجع ادارة الاختبارات والقبول بنات او القبول و التسجيل –بنين  
لتوجيهه للمدرسة او تحديد مدرسة قريبه من سكنه",يطلع لي حالة طلب التسجيل في نظام نور لطالب في الصف الأول ابتدائي مرحلة الإنتظار في المدرسة بسبب اني تأخرت في التسجيل فإيش معناته؟,لما ادخل على تسجيل جديد يطلع حالة الطلب انتظار وش يعني ؟,وش معنى انتظار جنب حالة التسجيل لطالب صف اول ابتدائي ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,ماهي الحالات التي يكون بها تسجيل الطالب في الصف الأول الإبتدائي  عن طريق قائد المدرسة؟,حالات-يكون-تسجيل-طالب-صف-اولى-ابتدائي-عن-طريق-قائد/ة- المدرسة-إيش-هي-حالات-الي-ماأقدر-أسجل-يلزم-مدير/ة -,"الطالب من أم سعودية وأب غير سعودي .
- الطلاب الخليجيون .
- طلاب دار الرعاية الاجتماعية .
- الطلاب الذين لم تستكمل هوياتهم ( ليس لهم أرقام سجلات مدنية ) كأبناء القبائل النازحة .
- طلاب مدارس القرى والهجر الذين تجاوزت اعمارهم احدى عشرة سنة و ثلاثة أشهر ولم يفتح بها مدارس إلا مؤخراً ولايوجد مراكز محو أمية قريبة منها .
- طلاب التربية الخاصة الذين تجاوزت اعمارهم الحد الأعلى لسن القبول بـ 3 سنوات .",إيش هي الحالات الي ماأقدر اسجل الطالب فيها ويلزم التسجيل من المدير/ة المدرسة؟,هل فيه حالات محددة يسجل فيها المدير الطالب بنظام نور؟,في حال عدم القدرة على تسجيل الطالب بالنظام هل المدير لديه صلاحية بتسجيل الطالب ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,ماهي الشروط والمعايير التي ينبغي توفرها لاستكمال تسجيل طلاب الصف الأول ابتدائي لمن تقل اعمارهم عن ست سنوات ب 180 يوم كحد أعلى؟,شروط-معايير-ينبغي-توفرها-استكمال-تسجيل-طلاب-صف-أولى-ابتدائي-تقل-اعمارهم-عن ست-سنوات-180-يوم-كحد-أعلى-أقل-حالة,"أ- ان يكون لدى الطفل شهادة صادرة من روضة للأطفال معتمدة تثبت التحاقه بها لمده ( فصلين دراسيين ) .
ب - توافر الاستمارة النمائية .
ت - أن تكون روضة الأطفال التي التحق بها الطفل من الروضات التالية : 
- الروضات الحكومية أوالأهلية التابعة لوزارة التعليم .
- روضات المدارس الأجنبية أو المدارس الأهلية المطبقة للبرامج الدولية المرخصة من وزارة التعليم .
الروضات من خارج المملكة شرط توافر مايفيد اتقان المهارات النمائية ، توصية بالالتحاق المبكر بالصف الأول الابتدائي وأن يصادق على الوثائق الملحق الثقافي السعودي أو السفارة السعودية .",الطالب/ة أقل عمر من ست سنوات ب 180 يوم فكيف يتم التسجيل في هذه الحاله؟,وش معايير التسجيل للطلاب اللي اعمارهم اقل من 180 يوم ؟,وش الشروط اللي لازم اوفرها عند تسجيل طالب عمره اقل من 180 يوم ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيفية حل المشكلة في حال واجه ولي الأمر اثناء تسجيل طالب جديد مشكلة عدم ظهور اسم المدرسة في نظام نور ؟,كيفية-حل-مشكلة-واجه-ولي-الأمر-أثناء-تسجيل-طالب-جديد-مشكلة-عدم-ظهور-اسم-مدرسة-نظام-نور-أسجل-مايطلع-حل,عليك التأكد من اختيار مكتب التعليم الصحيح اللتي تتبع له المدرسة او البحث بالكل قد تكون المدرسة غير مفعلة للتسجيل في العام القادم ..و قد تكون لا توجد بها شواغر ف أزيل اسمها,وأنا أسجل في نظام نور في الصف الأول أسم المدرسة مايطلع لي فما الحل؟,المدرسة اللي ابي اسجل ولدي فيها ماتطلع لي بالنظام؟,شلون اختار المدرسة اللي ابيها بنظام نور؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,"ماهو رابط التسجيل لولي الأمر في نظام نور ؟
 ",رابط-تسجيل-ولي-أمر-نور-كيف-أدخل-ابتدائي,"التسجيل لولي الأمر في نظام نور من خلال الرابط التالي : 
https://noor.moe.gov.sa/NOOR/Login.aspx",كيف أدخل على رابط نظام نور لتسجيل في الصف الأول ابتدائي؟,شلون احصل على رابط نظام نور ؟,هل فيه رابط محدد للتسجيل في نظام نور ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيف يمكن الدخول إلى بوابة نظام نور؟,رابط-دخلو-نظام-نور-وش,"من خلال الرابط الآتي: 
https://noor.moe.gov.sa/Noor/Login.aspx????",وش رابط الدخول لنظام نور؟,كيف ادخل نظام نور؟,وش طريقة الدخول لنظام نور ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيفية استخراج تعريف طالب من نظام نور من (حساب ولي الامر) ؟,تعريف-طالب-نظام-نور-اطبع-كيف,"استخراج تعريف طالب عن طريق الرابط التالي لإتباع الخطوات: 
 https://www.youtube.com/watch?v=gynQsgmu6qg
من خلال 
1- الدخول على رابط الخدمة 2- اختيار التقارير 3- اختيار طلب شهادة تعريف طالب منتظم",كيف اطلع من نظام نور تعريف طالب ؟,شرح استخراج تعريف بالطالب من نظام نور؟,طباعة تعريف طالب من النظام ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيفية  نقل طالب او طالبة من مدرسة إلى مدرسة اخرى من حساب ولي الامر ؟,اقدم-نقل-طالب-طالبة-مدرسة-اخرى-ولي-امر-نظام-نور,"طريقة نقل طالب او طالبة من خلال نظام نور والدخول الى حساب ولي الامر من خلال الخطوات التالية :
https://www.youtube.com/watch?v=13pzeKyrDa4
من خلال : 1-الدخول عبر رابط الخدمة 2-الدخول باسم المستخدم وكلمة المرور 3-اختيار الطالب المراد نقله 4- الضغط على أيقونة نقل من ضمن الخيارات 5-اختيار المدرسة المراد نقل الطالب إليها 6-الحفظ، ومتابعة قبول مدراء المدارس (المنقول منها والمنقول إليها)",كيف اقدم نقل طالب  او طالبة الى مدرسة اخرى من حساب ولي الامر في نظام نور؟,كيف انقل عيالي من نظام نور ؟,طريقة نقل طالب من نظام نور ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,الية متابعة الحضور والغياب من حساب ولي الامر والطالب؟,يتم-متابعة-الحور-الغياب-كولي-امر-نور-نظام,"من خلال الدخول على :
1- يتم الدخول للصفحة الرئيسية لولي الامر 2- اختيار ايقونة الطلاب 3- يتم اختيار الطالب المحدد من ايقونة خيارات 4- اختيار التقارير 5- اختيار كشوف المتابعة 6- اختيار كشف التأخر و الغياب 7- يتم تعبئة بيانات الطالب وفترة الغياب ثم عرض",كيف يتم متابعة الحضور والغياب من حسابي كولي أمر في نظام نور؟,هل اقدر اشوف غياب وحضور عيالي بنظام نور ؟,كيف اطلع حضور وغياب عيالي بنظام نور ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,الية استخراج او عرض جدول الحصص الأسبوعي للطالب من حساب ولي الامر ؟,الية-استخراج-عرض-جدول-حصص-اسبوعي-طالب-ولي-امر-نظام-نور,"من خلال الدخول على :
مستخدم ولي الأمر الدخول باسم المستخدم وكلمة المرور على الصفحة الرئيسية لنظام نور 1- الضغط على رابط الطلاب 2- الضغط على رابط خيارات 3-الضغط على رابط جداول 4- الضغط على رابط جدول المدرسي",ماهي الية استخراج او عرض جدول الحصص الاسبوعي للطالب من حساب ولي الامر؟,ابي اشوف جدول الحصص من حسابي من وين ؟,وشلون اشوف جدول حصص عيالي ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,كيف يتم تعديل البيانات الشخصية للطالب ؟,تعديل-بيانات-شخصية-طالب,يتم من خلال حساب ولي الأمر ثم الدخول الى تعديل معلوماتي الشخصية + البيانات الشخصية ,كيف يتم  تعديل البيانات الشخصية للطالب؟,طريقة تعديل البيانات الشخصية للطالب؟,آلية تعديل البيانات الشخصية للطالب؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,الية و طريقة فك حجز الشهادة لطالبات أو  طلاب التعليم الأهلي بنظام نور ؟,فك-حجز-شهادة-طالب-تعليم-اهلي,"من حساب قائد المدرسة في نظام نور ثم الدخول على شؤون الطالبات ثم تحديد الطلاب المتعثرين في سداد الرسوم الدراسية ثم رقم هوية الطالب والسنة الدراسية ثم ابحث ثم اختيار حالة سداد الرسوم ثم حفظ 
و سيتمكن القائد بعد ذلك طباعة شهادة الطالبة",كيف يتم فك حجز شهادة طالب بالتعليم الاهلي بنظام نور؟,الية و طريقة فك حجز الشهادة لطالبات أو  طلاب التعليم الأهلي بنظام نور ؟,شلون أفك حجز الشهادة لطالبات أو  طلاب التعليم الأهلي بنظام نور ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,طريقة تغيير رقم الجوال او البريد الالكتروني من خلال نظام نور ؟,تغيير-رقم-جوال-بريد-الكتروني-نظام-نور,"اذا كان ولي امر الدخول من ايقونة بياناتي الشخصيه – بيانات الاتصال  حيث ان الايقونة مفعلة بحساب القائد و ولي الامر 
الخطوات من حساب ولي الامر 
https://www.youtube.com/watch?v=1PbnGtfDozg&t=14s

ذا كان معلم يجب الرجوع لقائد المدرسة 
ليتم تعديل رقم الجوال أو الايميل من خلال 
ايقونة شؤون المعلمين  - المعلمين - ابحث - الضغط على السجل المدني - تظهر صفحة يتم اختيار تعديل الجوال و الايميل من خلالها للمعلم .",كيف اغير رقم الجوال او البريد الالكتروني في نظام نور ؟,وش طريقة  تغيير رقم الجوال او البريد الالكتروني من خلال نظام نور ؟,من وين  اغير  رقم الجوال او البريد الالكتروني من خلال نظام نور ؟
مستوى التعليم العام,شؤون الطلاب  والطالبات,استفسار بشأن طالب منقطع عن الدراسة و لازال يظهر اسمه في الكشوفات في نظام نور ؟,طالب-منقطع-دراسة-لازال-كشف-كشوفات,لا بد من طي قيده حتى لا يظهر في الكشوفات . ,لدينا طالب منقطع عن الدراسة ولا زال اسمه يظهر في الكشوفات بنظام نور؟,عندي طالب منقطع عن الدراسة و لازال يظهر اسمه في الكشوفات في نظام نور ؟,عندنا طالب منقطع عن الدراسة و لازال يظهر اسمه في الكشوفات في نظام نور ؟
